episode_id,scene_id,difficulty,body_margin,steps,success,collision,stuck,near_collision,min_clearance
hm3d_narrow_000105,00851-YRUkbU5xsYj,normal,0.3516,500,0.0,0.0,1.0,1.0,-0.1325414776802063
hm3d_narrow_000106,00851-YRUkbU5xsYj,normal,0.3598,500,0.0,0.0,1.0,1.0,-0.166273832321167
hm3d_narrow_000107,00851-YRUkbU5xsYj,narrow,0.0859,500,0.0,0.0,1.0,1.0,-0.16726665198802948
hm3d_narrow_000113,00851-YRUkbU5xsYj,normal,0.229,500,0.0,0.0,1.0,1.0,-0.1656722128391266
hm3d_narrow_000108,00851-YRUkbU5xsYj,narrow,0.0539,500,0.0,0.0,1.0,1.0,-0.16946794092655182
hm3d_narrow_000109,00851-YRUkbU5xsYj,normal,0.2586,500,0.0,0.0,1.0,1.0,-0.1695868968963623
hm3d_narrow_000110,00851-YRUkbU5xsYj,normal,0.1979,500,0.0,0.0,1.0,1.0,-0.1657669097185135
hm3d_narrow_000125,00865-fsQtJ8t3nTf,narrow,0.0602,500,0.0,0.0,1.0,1.0,-0.13002003729343414
hm3d_narrow_000130,00865-fsQtJ8t3nTf,normal,0.1605,500,0.0,0.0,1.0,1.0,-0.1469816416501999
hm3d_narrow_000128,00865-fsQtJ8t3nTf,narrow,0.1434,500,0.0,0.0,1.0,1.0,-0.17107613384723663
hm3d_narrow_000124,00865-fsQtJ8t3nTf,narrow,0.1318,500,0.0,0.0,1.0,1.0,-0.13108529150485992
hm3d_narrow_000126,00865-fsQtJ8t3nTf,narrow,0.1236,500,0.0,0.0,1.0,1.0,-0.16639572381973267
hm3d_narrow_000127,00865-fsQtJ8t3nTf,narrow,0.0294,500,0.0,0.0,1.0,1.0,-0.17011164128780365
hm3d_narrow_000131,00865-fsQtJ8t3nTf,narrow,0.1439,500,0.0,0.0,1.0,1.0,-0.1676705926656723
hm3d_narrow_000129,00865-fsQtJ8t3nTf,narrow,0.1055,500,0.0,0.0,1.0,1.0,-0.11460957676172256
hm3d_narrow_000040,00836-7GAhQPFzMot,normal,0.1617,500,0.0,0.0,1.0,1.0,-0.1325528472661972
hm3d_narrow_000042,00836-7GAhQPFzMot,narrow,0.0426,500,0.0,0.0,1.0,1.0,-0.11502356082201004
hm3d_narrow_000047,00836-7GAhQPFzMot,normal,0.1521,500,0.0,0.0,1.0,1.0,-0.16786018013954163
hm3d_narrow_000041,00836-7GAhQPFzMot,wide,0.5214,500,0.0,0.0,1.0,1.0,-0.17097832262516022
hm3d_narrow_000046,00836-7GAhQPFzMot,narrow,0.0972,500,0.0,0.0,1.0,1.0,-0.1601683348417282
hm3d_narrow_000043,00836-7GAhQPFzMot,normal,0.2007,500,0.0,0.0,1.0,1.0,-0.1666795015335083
hm3d_narrow_000049,00836-7GAhQPFzMot,wide,0.5861,500,0.0,0.0,1.0,1.0,-0.16664275527000427
hm3d_narrow_000048,00836-7GAhQPFzMot,narrow,0.0935,500,0.0,0.0,1.0,1.0,-0.1687372773885727
hm3d_narrow_000045,00836-7GAhQPFzMot,normal,0.1651,500,0.0,0.0,1.0,1.0,-0.13197405636310577
hm3d_narrow_000044,00836-7GAhQPFzMot,narrow,0.0938,500,0.0,0.0,1.0,1.0,-0.16100668907165527
hm3d_narrow_000034,00885-dVW2D7TDctW,normal,0.3009,500,0.0,0.0,1.0,1.0,-0.17152518033981323
hm3d_narrow_000039,00885-dVW2D7TDctW,normal,0.2361,500,0.0,0.0,1.0,1.0,-0.1637173593044281
hm3d_narrow_000033,00885-dVW2D7TDctW,wide,0.6984,500,0.0,0.0,1.0,1.0,-0.14792169630527496
hm3d_narrow_000035,00885-dVW2D7TDctW,normal,0.1955,500,0.0,0.0,1.0,1.0,-0.168191060423851
hm3d_narrow_000032,00885-dVW2D7TDctW,normal,0.3339,500,0.0,0.0,1.0,1.0,-0.16913220286369324
hm3d_narrow_000038,00885-dVW2D7TDctW,wide,0.4594,500,0.0,0.0,1.0,1.0,-0.14560237526893616
hm3d_narrow_000030,00885-dVW2D7TDctW,wide,0.6088,500,0.0,0.0,1.0,1.0,-0.14268067479133606
hm3d_narrow_000036,00885-dVW2D7TDctW,normal,0.1614,500,0.0,0.0,1.0,1.0,-0.16737936437129974
hm3d_narrow_000031,00885-dVW2D7TDctW,normal,0.294,500,0.0,0.0,1.0,1.0,-0.17005285620689392
hm3d_narrow_000037,00885-dVW2D7TDctW,narrow,0.1172,500,0.0,0.0,1.0,1.0,-0.10496596246957779
hm3d_narrow_000090,00845-c3WKCnkEdha,normal,0.2541,500,0.0,0.0,1.0,1.0,-0.1299961805343628
hm3d_narrow_000091,00845-c3WKCnkEdha,narrow,0.0294,500,0.0,0.0,1.0,1.0,-0.16935330629348755
hm3d_narrow_000148,00853-5cdEh9F2hJL,narrow,0.0062,500,0.0,0.0,1.0,1.0,-0.1344873309135437
hm3d_narrow_000149,00853-5cdEh9F2hJL,narrow,0.1142,500,0.0,0.0,1.0,1.0,-0.147853821516037
hm3d_narrow_000144,00853-5cdEh9F2hJL,narrow,0.0106,500,0.0,0.0,1.0,1.0,-0.15003179013729095
hm3d_narrow_000147,00853-5cdEh9F2hJL,narrow,0.0475,500,0.0,0.0,1.0,1.0,-0.17058317363262177
hm3d_narrow_000146,00853-5cdEh9F2hJL,narrow,0.1268,500,0.0,0.0,1.0,1.0,-0.1631060242652893
hm3d_narrow_000145,00853-5cdEh9F2hJL,wide,0.4735,500,0.0,0.0,1.0,1.0,-0.1078234389424324
hm3d_narrow_000060,00864-QHhQZWdMpGJ,narrow,0.0862,500,0.0,0.0,1.0,1.0,-0.1692741960287094
hm3d_narrow_000062,00864-QHhQZWdMpGJ,narrow,0.1439,500,0.0,0.0,1.0,1.0,-0.16158582270145416
hm3d_narrow_000068,00864-QHhQZWdMpGJ,wide,0.9289,500,0.0,0.0,1.0,1.0,-0.16933941841125488
hm3d_narrow_000066,00864-QHhQZWdMpGJ,narrow,0.0726,500,0.0,0.0,1.0,1.0,-0.16414617002010345
hm3d_narrow_000063,00864-QHhQZWdMpGJ,normal,0.1913,500,0.0,0.0,1.0,1.0,-0.1703549325466156
hm3d_narrow_000065,00864-QHhQZWdMpGJ,normal,0.1642,500,0.0,0.0,1.0,1.0,-0.14823079109191895
hm3d_narrow_000061,00864-QHhQZWdMpGJ,wide,0.831,500,0.0,0.0,1.0,1.0,-0.1663743555545807
hm3d_narrow_000069,00864-QHhQZWdMpGJ,normal,0.2581,500,0.0,0.0,1.0,1.0,-0.16869105398654938
hm3d_narrow_000064,00864-QHhQZWdMpGJ,narrow,0.0729,500,0.0,0.0,1.0,1.0,-0.168551966547966
hm3d_narrow_000067,00864-QHhQZWdMpGJ,wide,1.0308,500,0.0,0.0,1.0,1.0,-0.16017836332321167
hm3d_narrow_000137,00833-dHwjuKfkRUR,narrow,0.1343,500,0.0,0.0,1.0,1.0,-0.1715979278087616
hm3d_narrow_000135,00833-dHwjuKfkRUR,normal,0.1529,500,0.0,0.0,1.0,1.0,-0.1196131631731987
hm3d_narrow_000139,00833-dHwjuKfkRUR,wide,0.5752,500,0.0,0.0,1.0,1.0,-0.15034818649291992
hm3d_narrow_000132,00833-dHwjuKfkRUR,normal,0.2734,500,0.0,0.0,1.0,1.0,-0.16093236207962036
hm3d_narrow_000133,00833-dHwjuKfkRUR,wide,0.4865,500,0.0,0.0,1.0,1.0,-0.16767777502536774
hm3d_narrow_000138,00833-dHwjuKfkRUR,normal,0.3307,500,0.0,0.0,1.0,1.0,-0.1708250194787979
hm3d_narrow_000140,00833-dHwjuKfkRUR,normal,0.3332,500,0.0,0.0,1.0,1.0,-0.17052268981933594
hm3d_narrow_000134,00833-dHwjuKfkRUR,wide,0.7903,500,0.0,0.0,1.0,1.0,-0.1704934537410736
hm3d_narrow_000141,00833-dHwjuKfkRUR,normal,0.2123,500,0.0,0.0,1.0,1.0,-0.16804489493370056
hm3d_narrow_000136,00833-dHwjuKfkRUR,normal,0.3234,500,0.0,0.0,1.0,1.0,-0.16936756670475006
hm3d_narrow_000059,00817-X4qjx5vquwH,wide,0.7829,500,0.0,0.0,1.0,1.0,-0.16842040419578552
hm3d_narrow_000054,00817-X4qjx5vquwH,wide,0.4303,500,0.0,0.0,1.0,1.0,-0.16345666348934174
hm3d_narrow_000056,00817-X4qjx5vquwH,wide,0.814,500,0.0,0.0,1.0,1.0,-0.15730570256710052
hm3d_narrow_000055,00817-X4qjx5vquwH,normal,0.2176,500,0.0,0.0,1.0,1.0,-0.17134305834770203
hm3d_narrow_000051,00817-X4qjx5vquwH,wide,0.446,500,0.0,0.0,1.0,1.0,-0.16545535624027252
hm3d_narrow_000057,00817-X4qjx5vquwH,narrow,0.0264,500,0.0,0.0,1.0,1.0,-0.15375712513923645
